Rider ID,Country,UCI Team 2012,Rider Name,Price 2012,Score 2012,Gender,Born,Age 2012,UCI Team 2013,Price 2013,Score 2013,Age 2013,UCI Team 2014,Price 2014,Score 2014,Age 2014,UCI Team 2015,Price 2015,Score 2015,Age 2015,UCI Team 2016,Price 2016,Score 2016,Age 2016,UCI Team 2017,Price 2017,Score 2017,Age 2017,UCI Team 2018,Price 2018,Score 2018,Age 2018,UCI Team 2019,Price 2019,Score 2019,Age 2019,UCI Team 2020,Price 2020,Score 2020,Age 2020
3513,CAN,,Katherine Maine,,,Women,1997.0,,,,,,,,,,,,,,RLW,1.0,0.0,19.0,RLW,1.0,0.0,20.0,RLW,1.0,100.0,21.0,RLW,1.0,0.0,22.0,XYZ,1.0,0.0,23.0
3538,GBR,,Amira Mellor,,,Women,1997.0,,,,,,,,,,,,,,MAT,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3470,AUS,,Nicole Moerig,,,Women,1984.0,,,,,,,,,,,,,,PAC,1.0,0.0,32.0,,,,,,,,,,,,,,,,
3522,USA,,Shawn Morelli,,,Women,1976.0,,,,,,,,,,,,,,UHC,1.0,0.0,40.0,UHC,1.0,0.0,41.0,,,,,,,,,,,,
3504,ITA,,Nicole Nesti,,,Women,1997.0,,,,,,,,,,,,,,VAI,1.0,0.0,19.0,VAI,1.0,15.0,20.0,VAI,1.0,0.0,21.0,VAI,1.0,0.0,22.0,XYZ,1.0,0.0,23.0
3489,ITA,,Federica Nicolai,,,Women,1995.0,,,,,,,,,,,,,,MIC,1.0,0.0,21.0,,,,,,,,,,,,,,,,
3515,DEN,,Louise Norman Hansen,,,Women,1995.0,,,,,,,,,,,,,,BMS,1.0,0.0,21.0,TVW,1.0,24.0,22.0,TVC,1.0,63.0,23.0,TVC,1.0,128.0,24.0,ILB,2.0,0.0,25.0
3491,CAN,,Catherine Ouellette,,,Women,1996.0,,,,,,,,,,,,,,RLW,1.0,0.0,20.0,WNT,1.0,0.0,21.0,XYZ,1.0,0.0,22.0,,,,,,,,
3484,GBR,,Abby-Mae Parkinson,,,Women,1997.0,,,,,,,,,,,,,,SEF,1.0,0.0,19.0,DRP,1.0,0.0,20.0,DRP,1.0,0.0,21.0,DRP,1.0,0.0,22.0,LSL,1.0,0.0,23.0
3526,KAZ,,Viktoriya Pastarnak,,,Women,1997.0,,,,,,,,,,,,,,ASA,1.0,0.0,19.0,,,,,,,,,,,,,,,,
3514,DEN,,Tine Rasch,,,Women,1976.0,,,,,,,,,,,,,,BMS,1.0,0.0,40.0,,,,,,,,,,,,,,,,
3512,AUT,,Sandra Reisenhofer,,,Women,1995.0,,,,,,,,,,,,,,NOE,1.0,0.0,21.0,,,,,,,,,,,,,,,,
